date,open,high,low,close,volume,source,price
2024-07-27,0.0006590000120922,0.0009609999833628,0.0005339999916031,0.0007290000212378,1354505.0,yahoo_10_years,0.0007290000212378
2024-07-28,0.0007290000212378,0.0013559999642893,0.000508000026457,0.00131700001657,792568.0,yahoo_10_years,0.00131700001657
2024-07-29,0.001321000047028,0.0025319999549537,0.0009350000182166,0.0017140000127255,2850116.0,yahoo_10_years,0.0017140000127255
2024-07-30,0.0017140000127255,0.0017630000365898,0.0010310000507161,0.0013620000099763,953082.0,yahoo_10_years,0.0013620000099763
2024-07-31,0.0013620000099763,0.0016540000215172,0.0009779999963939,0.0011429999722167,915166.0,yahoo_10_years,0.0011429999722167
2024-08-01,0.0011429999722167,0.0012639999622479,0.0006009999779053,0.0007179999956861,637911.0,yahoo_10_years,0.0007179999956861
2024-08-02,0.0007179999956861,0.0007190000033006,0.0002859999949578,0.0003199999919161,372859.0,yahoo_10_years,0.0003199999919161
2024-08-03,0.0003190000134054,0.0007309999782592,0.0002910000039264,0.0006189999985508,226353.0,yahoo_10_years,0.0006189999985508
2024-08-04,0.0006230000290088,0.0006999999750405,0.0004279999993741,0.0004330000083427,127082.0,yahoo_10_years,0.0004330000083427
2024-08-05,0.0004260000132489,0.0004269999917596,0.0002059999969787,0.0002519999979995,138958.0,yahoo_10_years,0.0002519999979995
2024-08-06,0.0002519999979995,0.0004459999909158,0.0002519999979995,0.0003520000027492,140466.0,yahoo_10_years,0.0003520000027492
2024-08-07,0.0003779999969992,0.0008880000095814,0.0003570000117179,0.00044999999227,606150.0,yahoo_10_years,0.00044999999227
2024-08-08,0.00044999999227,0.0004990000161342,0.0002730000123847,0.0003220000071451,127708.0,yahoo_10_years,0.0003220000071451
2024-08-09,0.0003499999875202,0.0003579999902285,0.0002709999971557,0.0002800000074785,47866.0,yahoo_10_years,0.0002800000074785
2024-08-10,0.0002800000074785,0.0003410000063013,0.0001740000006975,0.0002589999930933,177817.0,yahoo_10_years,0.0002589999930933
2024-08-11,0.0002589999930933,0.0002600000007078,0.0001409999968018,0.0001619999966351,80776.0,yahoo_10_years,0.0001619999966351
2024-08-12,0.0001619999966351,0.000330999988364,0.000146999998833,0.0001740000006975,221707.0,yahoo_10_years,0.0001740000006975
2024-08-13,0.0001740000006975,0.0001860000047599,4.400000034365803e-05,4.70000013592653e-05,191845.0,yahoo_10_years,4.70000013592653e-05
2024-08-14,4.70000013592653e-05,5.500000042957254e-05,4.099999932805076e-05,5.0999999075429514e-05,43074.0,yahoo_10_years,5.0999999075429514e-05
2024-08-15,5.0999999075429514e-05,8.70000003487803e-05,4.70000013592653e-05,6.800000119255856e-05,85620.0,yahoo_10_years,6.800000119255856e-05
2024-08-16,6.500000017695129e-05,6.500000017695129e-05,4.8999998398358e-05,4.8999998398358e-05,15921.0,yahoo_10_years,4.8999998398358e-05
2024-08-17,4.70000013592653e-05,4.70000013592653e-05,2.9000000722589903e-05,3.099999958067201e-05,13356.0,yahoo_10_years,3.099999958067201e-05
2024-08-18,3.300000025774352e-05,3.600000127335079e-05,2.9999999242136255e-05,2.9999999242136255e-05,12081.0,yahoo_10_years,2.9999999242136255e-05
2024-08-19,2.9999999242136255e-05,3.400000059627928e-05,2.8000000384054147e-05,2.9000000722589903e-05,8418.0,yahoo_10_years,2.9000000722589903e-05
2024-08-20,2.9000000722589903e-05,3.899999865097925e-05,2.9000000722589903e-05,3.199999991920777e-05,8396.0,yahoo_10_years,3.199999991920777e-05
2024-08-21,3.099999958067201e-05,3.199999991920777e-05,2.9000000722589903e-05,2.9999999242136255e-05,1458.0,yahoo_10_years,2.9999999242136255e-05
2024-08-22,2.9000000722589903e-05,2.9000000722589903e-05,2.499999936844688e-05,2.700000004551839e-05,3743.0,yahoo_10_years,2.700000004551839e-05
2024-08-23,2.700000004551839e-05,4.199999966658652e-05,2.499999936844688e-05,3.7000001611886546e-05,9385.0,yahoo_10_years,3.7000001611886546e-05
2024-08-24,3.7000001611886546e-05,4.8999998398358e-05,3.099999958067201e-05,3.600000127335079e-05,26703.0,yahoo_10_years,3.600000127335079e-05
2024-08-25,3.600000127335079e-05,3.7000001611886546e-05,2.9000000722589903e-05,3.199999991920777e-05,10724.0,yahoo_10_years,3.199999991920777e-05
2024-08-26,3.199999991920777e-05,4.199999966658652e-05,3.099999958067201e-05,3.400000059627928e-05,10653.0,yahoo_10_years,3.400000059627928e-05
2024-08-27,3.400000059627928e-05,4.8000001697801054e-05,2.9999999242136255e-05,3.199999991920777e-05,16690.0,yahoo_10_years,3.199999991920777e-05
2024-08-28,3.199999991920777e-05,4.099999932805076e-05,2.5999999706982635e-05,2.8000000384054147e-05,10487.0,yahoo_10_years,2.8000000384054147e-05
2024-08-29,2.8000000384054147e-05,3.400000059627928e-05,2.5999999706982635e-05,2.700000004551839e-05,4098.0,yahoo_10_years,2.700000004551839e-05
2024-08-30,2.700000004551839e-05,2.700000004551839e-05,2.4000000848900527e-05,2.499999936844688e-05,987.0,yahoo_10_years,2.499999936844688e-05
2024-08-31,2.499999936844688e-05,2.700000004551839e-05,2.499999936844688e-05,2.5999999706982635e-05,786.0,yahoo_10_years,2.5999999706982635e-05
2024-09-01,2.5999999706982635e-05,2.700000004551839e-05,2.2000000171829015e-05,2.2000000171829015e-05,3772.0,yahoo_10_years,2.2000000171829015e-05
2024-09-02,2.2000000171829015e-05,2.499999936844688e-05,2.2000000171829015e-05,2.499999936844688e-05,730.0,yahoo_10_years,2.499999936844688e-05
2024-09-03,2.4000000848900527e-05,2.4000000848900527e-05,2.2000000171829015e-05,2.2000000171829015e-05,1564.0,yahoo_10_years,2.2000000171829015e-05
2024-09-04,2.2000000171829015e-05,2.300000051036477e-05,2.2000000171829015e-05,2.300000051036477e-05,1374.0,yahoo_10_years,2.300000051036477e-05
2024-09-05,2.300000051036477e-05,2.300000051036477e-05,2.2000000171829015e-05,2.2000000171829015e-05,253.0,yahoo_10_years,2.2000000171829015e-05
2024-09-06,2.2000000171829015e-05,2.2000000171829015e-05,2.2000000171829015e-05,2.2000000171829015e-05,68.0,yahoo_10_years,2.2000000171829015e-05
2024-09-07,2.2000000171829015e-05,2.300000051036477e-05,2.2000000171829015e-05,2.300000051036477e-05,520.0,yahoo_10_years,2.300000051036477e-05
2024-09-08,2.300000051036477e-05,2.300000051036477e-05,2.2000000171829015e-05,2.2000000171829015e-05,192.0,yahoo_10_years,2.2000000171829015e-05
2024-09-09,2.2000000171829015e-05,2.499999936844688e-05,2.2000000171829015e-05,2.499999936844688e-05,800.0,yahoo_10_years,2.499999936844688e-05
2024-09-10,2.499999936844688e-05,2.499999936844688e-05,2.4000000848900527e-05,2.4000000848900527e-05,1241.0,yahoo_10_years,2.4000000848900527e-05
2024-09-11,2.4000000848900527e-05,2.4000000848900527e-05,2.2000000171829015e-05,2.2000000171829015e-05,1058.0,yahoo_10_years,2.2000000171829015e-05
2024-09-12,2.2000000171829015e-05,2.4000000848900527e-05,2.2000000171829015e-05,2.300000051036477e-05,1666.0,yahoo_10_years,2.300000051036477e-05
2024-09-13,2.300000051036477e-05,2.300000051036477e-05,2.2000000171829015e-05,2.300000051036477e-05,456.0,yahoo_10_years,2.300000051036477e-05
2024-09-14,2.300000051036477e-05,2.4000000848900527e-05,2.300000051036477e-05,2.4000000848900527e-05,479.0,yahoo_10_years,2.4000000848900527e-05
2024-09-15,2.4000000848900527e-05,2.4000000848900527e-05,2.300000051036477e-05,2.300000051036477e-05,75.0,yahoo_10_years,2.300000051036477e-05
2024-09-16,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,2.300000051036477e-05,10.0,yahoo_10_years,2.300000051036477e-05
2024-09-17,2.300000051036477e-05,2.700000004551839e-05,2.2000000171829015e-05,2.300000051036477e-05,9368.0,yahoo_10_years,2.300000051036477e-05
2024-09-18,2.300000051036477e-05,2.300000051036477e-05,1.9999999494757503e-05,2.099999983329326e-05,907.0,yahoo_10_years,2.099999983329326e-05
2024-09-19,2.099999983329326e-05,2.300000051036477e-05,2.099999983329326e-05,2.300000051036477e-05,711.0,yahoo_10_years,2.300000051036477e-05
2024-09-20,2.300000051036477e-05,2.9999999242136255e-05,2.300000051036477e-05,2.300000051036477e-05,7413.0,yahoo_10_years,2.300000051036477e-05
2024-09-21,2.300000051036477e-05,2.5999999706982635e-05,2.300000051036477e-05,2.5999999706982635e-05,470.0,yahoo_10_years,2.5999999706982635e-05
2024-09-22,2.5999999706982635e-05,2.5999999706982635e-05,2.099999983329326e-05,2.2000000171829015e-05,1387.0,yahoo_10_years,2.2000000171829015e-05
2024-09-23,2.2000000171829015e-05,2.2000000171829015e-05,2.099999983329326e-05,2.2000000171829015e-05,333.0,yahoo_10_years,2.2000000171829015e-05
2024-09-24,2.2000000171829015e-05,2.499999936844688e-05,2.2000000171829015e-05,2.499999936844688e-05,670.0,yahoo_10_years,2.499999936844688e-05
2024-09-25,2.499999936844688e-05,3.099999958067201e-05,2.499999936844688e-05,2.8000000384054147e-05,7494.0,yahoo_10_years,2.8000000384054147e-05
2024-09-26,2.8000000384054147e-05,4.099999932805076e-05,2.5999999706982635e-05,3.600000127335079e-05,7525.0,yahoo_10_years,3.600000127335079e-05
2024-09-27,3.600000127335079e-05,3.600000127335079e-05,2.9000000722589903e-05,3.099999958067201e-05,4400.0,yahoo_10_years,3.099999958067201e-05
2024-09-28,3.099999958067201e-05,3.300000025774352e-05,2.8000000384054147e-05,2.9000000722589903e-05,2818.0,yahoo_10_years,2.9000000722589903e-05
2024-09-29,2.9000000722589903e-05,3.5000000934815034e-05,2.8000000384054147e-05,3.400000059627928e-05,2660.0,yahoo_10_years,3.400000059627928e-05
2024-09-30,3.5000000934815034e-05,3.600000127335079e-05,3.300000025774352e-05,3.5000000934815034e-05,2221.0,yahoo_10_years,3.5000000934815034e-05
2024-10-01,3.5000000934815034e-05,3.7000001611886546e-05,3.300000025774352e-05,3.600000127335079e-05,1761.0,yahoo_10_years,3.600000127335079e-05
2024-10-02,3.600000127335079e-05,3.7999998312443495e-05,3.400000059627928e-05,3.5000000934815034e-05,2686.0,yahoo_10_years,3.5000000934815034e-05
2024-10-03,3.5000000934815034e-05,3.5000000934815034e-05,3.099999958067201e-05,3.199999991920777e-05,1483.0,yahoo_10_years,3.199999991920777e-05
2024-10-04,3.199999991920777e-05,3.300000025774352e-05,3.199999991920777e-05,3.300000025774352e-05,270.0,yahoo_10_years,3.300000025774352e-05
2024-10-05,3.300000025774352e-05,3.300000025774352e-05,3.099999958067201e-05,3.099999958067201e-05,1700.0,yahoo_10_years,3.099999958067201e-05
2024-10-06,3.199999991920777e-05,3.199999991920777e-05,2.9999999242136255e-05,2.9999999242136255e-05,1394.0,yahoo_10_years,2.9999999242136255e-05
