date,open,high,low,close,volume,source,price
2024-01-05,43833.25,45132.3671875,43070.12890625,44618.26953125,25449.0,yahoo_10_years,44618.26953125
2024-01-06,44618.26953125,44799.40625,39596.83984375,43982.8125,88611.0,yahoo_10_years,43982.8125
2024-01-07,43982.8125,45255.52734375,43271.90234375,43738.453125,24921.0,yahoo_10_years,43738.453125
2024-01-08,43738.453125,47868.1640625,42586.83984375,47075.50390625,179348.0,yahoo_10_years,47075.50390625
2024-01-09,47295.6484375,48154.875,45659.78125,46488.7734375,68423.0,yahoo_10_years,46488.7734375
2024-01-10,46488.7734375,47571.80859375,44380.72265625,46568.8203125,107241.0,yahoo_10_years,46568.8203125
2024-01-11,46568.8203125,50097.55859375,45686.71484375,46767.6328125,257554.0,yahoo_10_years,46767.6328125
2024-01-12,46897.73046875,47321.96875,41988.54296875,43051.97265625,337222.0,yahoo_10_years,43051.97265625
2024-01-13,43051.97265625,43727.87890625,42400.484375,42758.80859375,270889.0,yahoo_10_years,42758.80859375
2024-01-14,42758.80859375,43506.22265625,41685.8359375,41685.8359375,177700.0,yahoo_10_years,41685.8359375
2024-01-15,41685.8359375,43747.20703125,41666.3359375,42683.4296875,200334.0,yahoo_10_years,42683.4296875
2024-01-16,42683.4296875,43918.4765625,42220.5078125,43249.96484375,205404.0,yahoo_10_years,43249.96484375
2024-01-17,43249.96484375,43620.5703125,41807.17578125,43113.40234375,136317.0,yahoo_10_years,43113.40234375
2024-01-18,43113.40234375,43291.1875,40568.140625,41214.3984375,112439.0,yahoo_10_years,41214.3984375
2024-01-19,41214.3984375,42485.53125,38393.05859375,41369.69140625,162618.0,yahoo_10_years,41369.69140625
2024-01-20,41369.69140625,42489.1015625,40357.49609375,41827.87890625,158006.0,yahoo_10_years,41827.87890625
2024-01-21,41827.87890625,42168.296875,41181.6796875,41449.05859375,150965.0,yahoo_10_years,41449.05859375
2024-01-22,41449.05859375,41907.3359375,39164.84375,39536.375,130042.0,yahoo_10_years,39536.375
2024-01-23,39536.375,40510.42578125,38394.52734375,39886.4375,146240.0,yahoo_10_years,39886.4375
2024-01-24,39886.4375,40682.40625,39339.96875,40094.05859375,110612.0,yahoo_10_years,40094.05859375
2024-01-25,40094.05859375,40618.03125,39407.3046875,40212.65234375,87474.0,yahoo_10_years,40212.65234375
2024-01-26,40212.65234375,42410.6953125,39497.9609375,41943.48828125,136916.0,yahoo_10_years,41943.48828125
2024-01-27,42219.953125,42947.8515625,41238.96875,42449.0234375,125477.0,yahoo_10_years,42449.0234375
2024-01-28,42449.0234375,43093.71875,41652.2265625,42256.796875,112001.0,yahoo_10_years,42256.796875
2024-01-29,42256.796875,43554.390625,41741.5859375,43303.140625,169140.0,yahoo_10_years,43303.140625
2024-01-30,43303.140625,44075.98828125,42876.82421875,42924.453125,144900.0,yahoo_10_years,42924.453125
2024-01-31,42924.453125,44038.01171875,41979.2734375,42762.6328125,106206.0,yahoo_10_years,42762.6328125
2024-02-01,42785.234375,43640.3671875,41519.33203125,43256.8984375,101473.0,yahoo_10_years,43256.8984375
