date,open,high,low,close,volume,source,price
2024-06-24,7.000000096013537e-06,1.1000000085914508e-05,6.000000212225132e-06,1.1000000085914508e-05,0.0,yahoo_10_years,1.1000000085914508e-05
2024-06-25,1.1000000085914508e-05,1.1000000085914508e-05,7.999999979801942e-06,9.000000318337698e-06,12154.0,yahoo_10_years,9.000000318337698e-06
2024-06-26,9.000000318337698e-06,9.000000318337698e-06,7.000000096013537e-06,7.000000096013537e-06,7797.0,yahoo_10_years,7.000000096013537e-06
2024-06-27,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,6879.0,yahoo_10_years,7.000000096013537e-06
2024-06-28,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,6690.0,yahoo_10_years,7.000000096013537e-06
2024-06-29,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,6015.0,yahoo_10_years,7.000000096013537e-06
2024-06-30,7.000000096013537e-06,7.999999979801942e-06,6.000000212225132e-06,7.000000096013537e-06,6992.0,yahoo_10_years,7.000000096013537e-06
2024-07-01,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,3569.0,yahoo_10_years,7.000000096013537e-06
2024-07-02,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,4565.0,yahoo_10_years,7.000000096013537e-06
2024-07-03,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,3552.0,yahoo_10_years,6.000000212225132e-06
2024-07-04,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,5875.0,yahoo_10_years,6.000000212225132e-06
2024-07-05,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,3561.0,yahoo_10_years,6.000000212225132e-06
2024-07-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,3138.0,yahoo_10_years,6.000000212225132e-06
2024-07-07,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,3466.0,yahoo_10_years,6.000000212225132e-06
2024-07-08,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06,3705.0,yahoo_10_years,6.000000212225132e-06
2024-07-09,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,3380.0,yahoo_10_years,4.999999873689376e-06
2024-07-10,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4432.0,yahoo_10_years,4.999999873689376e-06
2024-07-11,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4065.0,yahoo_10_years,4.999999873689376e-06
2024-07-12,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,2841.0,yahoo_10_years,4.999999873689376e-06
2024-07-13,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,2835.0,yahoo_10_years,4.999999873689376e-06
2024-07-14,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,4316.0,yahoo_10_years,4.999999873689376e-06
2024-07-15,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,3907.0,yahoo_10_years,3.999999989900971e-06
2024-07-16,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,2550.0,yahoo_10_years,3.999999989900971e-06
2024-07-17,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,2305.0,yahoo_10_years,3.999999989900971e-06
2024-07-18,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,2123.0,yahoo_10_years,3.999999989900971e-06
2024-07-19,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,1973.0,yahoo_10_years,3.999999989900971e-06
2024-07-20,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,1784.0,yahoo_10_years,3.000000106112566e-06
2024-07-21,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,4626.0,yahoo_10_years,3.999999989900971e-06
2024-07-22,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,1949.0,yahoo_10_years,3.000000106112566e-06
2024-07-23,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,913.0,yahoo_10_years,3.000000106112566e-06
2024-07-24,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,1686.0,yahoo_10_years,3.000000106112566e-06
2024-07-25,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,1345.0,yahoo_10_years,3.000000106112566e-06
2024-07-26,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,1637.0,yahoo_10_years,3.000000106112566e-06
2024-07-27,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,3410.0,yahoo_10_years,3.999999989900971e-06
2024-07-28,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,2181.0,yahoo_10_years,3.999999989900971e-06
2024-07-29,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,2736.0,yahoo_10_years,3.000000106112566e-06
2024-07-30,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,2286.0,yahoo_10_years,3.999999989900971e-06
2024-07-31,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,2041.0,yahoo_10_years,3.999999989900971e-06
2024-08-01,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,1948.0,yahoo_10_years,3.000000106112566e-06
2024-08-02,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,1325.0,yahoo_10_years,3.000000106112566e-06
2024-08-03,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,1584.0,yahoo_10_years,3.000000106112566e-06
2024-08-04,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,1641.0,yahoo_10_years,3.000000106112566e-06
2024-08-05,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3646.0,yahoo_10_years,3.000000106112566e-06
2024-08-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,1606.0,yahoo_10_years,3.000000106112566e-06
2024-08-07,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,1338.0,yahoo_10_years,3.000000106112566e-06
2024-08-08,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,1283.0,yahoo_10_years,3.000000106112566e-06
2024-08-09,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,1815.0,yahoo_10_years,3.999999989900971e-06
2024-08-10,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,2688.0,yahoo_10_years,3.000000106112566e-06
2024-08-11,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,2283.0,yahoo_10_years,3.000000106112566e-06
2024-08-12,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,2733.0,yahoo_10_years,3.000000106112566e-06
2024-08-13,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,3761.0,yahoo_10_years,3.999999989900971e-06
2024-08-14,3.999999989900971e-06,7.000000096013537e-06,3.000000106112566e-06,3.999999989900971e-06,9331.0,yahoo_10_years,3.999999989900971e-06
2024-08-15,3.999999989900971e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,3970.0,yahoo_10_years,3.999999989900971e-06
2024-08-16,3.999999989900971e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,4020.0,yahoo_10_years,3.999999989900971e-06
2024-08-17,3.999999989900971e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,3940.0,yahoo_10_years,3.999999989900971e-06
2024-08-18,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,2691.0,yahoo_10_years,3.999999989900971e-06
2024-08-19,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,2023.0,yahoo_10_years,3.999999989900971e-06
2024-08-20,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,2800.0,yahoo_10_years,3.999999989900971e-06
2024-08-21,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,6.000000212225132e-06,4867.0,yahoo_10_years,6.000000212225132e-06
2024-08-22,4.999999873689376e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,6424.0,yahoo_10_years,6.000000212225132e-06
2024-08-23,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4010.0,yahoo_10_years,4.999999873689376e-06
2024-08-24,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,3123.0,yahoo_10_years,4.999999873689376e-06
2024-08-25,3.999999989900971e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,2257.0,yahoo_10_years,3.999999989900971e-06
2024-08-26,3.999999989900971e-06,7.000000096013537e-06,3.999999989900971e-06,6.000000212225132e-06,7972.0,yahoo_10_years,6.000000212225132e-06
2024-08-27,4.999999873689376e-06,1.1000000085914508e-05,4.999999873689376e-06,7.000000096013537e-06,16788.0,yahoo_10_years,7.000000096013537e-06
2024-08-28,7.000000096013537e-06,7.999999979801942e-06,6.000000212225132e-06,7.000000096013537e-06,7270.0,yahoo_10_years,7.000000096013537e-06
2024-08-29,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,5618.0,yahoo_10_years,6.000000212225132e-06
2024-08-30,6.000000212225132e-06,9.000000318337698e-06,6.000000212225132e-06,9.000000318337698e-06,15968.0,yahoo_10_years,9.000000318337698e-06
2024-08-31,9.000000318337698e-06,9.000000318337698e-06,7.000000096013537e-06,7.000000096013537e-06,12187.0,yahoo_10_years,7.000000096013537e-06
2024-09-01,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,5743.0,yahoo_10_years,7.999999979801942e-06
2024-09-02,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,12147.0,yahoo_10_years,7.000000096013537e-06
2024-09-03,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,5936.0,yahoo_10_years,6.000000212225132e-06
2024-09-04,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,6127.0,yahoo_10_years,7.000000096013537e-06
2024-09-05,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,7722.0,yahoo_10_years,7.000000096013537e-06
2024-09-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,10049.0,yahoo_10_years,7.000000096013537e-06
2024-09-07,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,3074.0,yahoo_10_years,7.000000096013537e-06
2024-09-08,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,2405.0,yahoo_10_years,6.000000212225132e-06
2024-09-09,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,3706.0,yahoo_10_years,6.000000212225132e-06
2024-09-10,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,7600.0,yahoo_10_years,6.000000212225132e-06
2024-09-11,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,8066.0,yahoo_10_years,6.000000212225132e-06
2024-09-12,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,2264.0,yahoo_10_years,7.000000096013537e-06
2024-09-13,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,6508.0,yahoo_10_years,6.000000212225132e-06
2024-09-14,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,6.000000212225132e-06,3196.0,yahoo_10_years,6.000000212225132e-06
2024-09-15,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,4941.0,yahoo_10_years,4.999999873689376e-06
2024-09-16,4.999999873689376e-06,4.999999873689376e-06,3.999999989900971e-06,4.999999873689376e-06,3430.0,yahoo_10_years,4.999999873689376e-06
2024-09-17,4.999999873689376e-06,6.000000212225132e-06,3.999999989900971e-06,4.999999873689376e-06,3578.0,yahoo_10_years,4.999999873689376e-06
2024-09-18,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,1607.0,yahoo_10_years,4.999999873689376e-06
2024-09-19,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,3039.0,yahoo_10_years,4.999999873689376e-06
2024-09-20,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,6089.0,yahoo_10_years,4.999999873689376e-06
2024-09-21,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,2516.0,yahoo_10_years,4.999999873689376e-06
2024-09-22,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,3252.0,yahoo_10_years,4.999999873689376e-06
2024-09-23,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,4422.0,yahoo_10_years,4.999999873689376e-06
2024-09-24,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06,3618.0,yahoo_10_years,6.000000212225132e-06
2024-09-25,6.000000212225132e-06,7.999999979801942e-06,6.000000212225132e-06,7.000000096013537e-06,12095.0,yahoo_10_years,7.000000096013537e-06
2024-09-26,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,7.000000096013537e-06,4297.0,yahoo_10_years,7.000000096013537e-06
2024-09-27,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,2368.0,yahoo_10_years,7.000000096013537e-06
2024-09-28,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.999999979801942e-06,5249.0,yahoo_10_years,7.999999979801942e-06
2024-09-29,7.999999979801942e-06,1.2000000424450263e-05,7.000000096013537e-06,1.1000000085914508e-05,8704.0,yahoo_10_years,1.1000000085914508e-05
2024-09-30,1.1000000085914508e-05,1.1000000085914508e-05,9.000000318337698e-06,1.1000000085914508e-05,14234.0,yahoo_10_years,1.1000000085914508e-05
2024-10-01,1.1000000085914508e-05,2.2000000171829015e-05,9.999999747378752e-06,2.2000000171829015e-05,25719.0,yahoo_10_years,2.2000000171829015e-05
2024-10-02,2.2000000171829015e-05,2.2000000171829015e-05,1.700000029813964e-05,1.8000000636675395e-05,26034.0,yahoo_10_years,1.8000000636675395e-05
2024-10-03,1.8000000636675395e-05,2.2000000171829015e-05,1.1000000085914508e-05,1.4000000192027072e-05,21834.0,yahoo_10_years,1.4000000192027072e-05
2024-10-04,1.4000000192027072e-05,2.2000000171829015e-05,1.4000000192027072e-05,1.700000029813964e-05,18057.0,yahoo_10_years,1.700000029813964e-05
2024-10-05,1.700000029813964e-05,1.700000029813964e-05,1.5999999959603883e-05,1.5999999959603883e-05,16808.0,yahoo_10_years,1.5999999959603883e-05
2024-10-06,1.5999999959603883e-05,1.8999999156221747e-05,1.5999999959603883e-05,1.8000000636675395e-05,22531.0,yahoo_10_years,1.8000000636675395e-05
2024-10-07,1.8000000636675395e-05,2.8000000384054147e-05,1.8000000636675395e-05,2.8000000384054147e-05,42889.0,yahoo_10_years,2.8000000384054147e-05
2024-10-08,2.8000000384054147e-05,2.8000000384054147e-05,2.099999983329326e-05,2.8000000384054147e-05,24421.0,yahoo_10_years,2.8000000384054147e-05
2024-10-09,2.8000000384054147e-05,3.600000127335079e-05,2.8000000384054147e-05,2.9000000722589903e-05,48841.0,yahoo_10_years,2.9000000722589903e-05
2024-10-10,2.9000000722589903e-05,3.600000127335079e-05,1.700000029813964e-05,3.600000127335079e-05,16427.0,yahoo_10_years,3.600000127335079e-05
2024-10-11,3.600000127335079e-05,3.600000127335079e-05,2.5999999706982635e-05,2.5999999706982635e-05,23445.0,yahoo_10_years,2.5999999706982635e-05
2024-10-12,2.5999999706982635e-05,2.9999999242136255e-05,2.5999999706982635e-05,2.5999999706982635e-05,46651.0,yahoo_10_years,2.5999999706982635e-05
2024-10-13,2.5999999706982635e-05,2.9999999242136255e-05,1.8999999156221747e-05,2.8000000384054147e-05,28732.0,yahoo_10_years,2.8000000384054147e-05
2024-10-14,2.8000000384054147e-05,3.300000025774352e-05,2.499999936844688e-05,2.8000000384054147e-05,31657.0,yahoo_10_years,2.8000000384054147e-05
2024-10-15,2.8000000384054147e-05,3.7000001611886546e-05,2.8000000384054147e-05,3.7000001611886546e-05,51314.0,yahoo_10_years,3.7000001611886546e-05
2024-10-16,3.7000001611886546e-05,4.3000000005122274e-05,3.7000001611886546e-05,3.9999998989515007e-05,33248.0,yahoo_10_years,3.9999998989515007e-05
