id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,87050.0,1741513780106,1,1741513780106.0,49308340577.0,87240.0,84248.0,2560.81,3.03092,58661673124.0,3.48585,19952637.0,19952637.0,21000000.0,126080.0,-30.92201,2025-10-06T18:57:42.558Z,67.81,128339.36427,2013-07-06T00:00:00.000Z,,2025-11-23T16:20:58.550Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2828.09,342714623275,2,342714623275.0,18462982403.0,2855.25,2733.7,82.49,3.00451,11743431931.0,3.54817,120695653.784733,120695653.784733,,4946.05,-42.76013,2025-08-24T19:21:03.333Z,0.432979,653768.37099,2015-10-20T00:00:00.000Z,"{'times': 42.426551916043586, 'currency': 'btc', 'percentage': 4242.655191604359}",2025-11-23T16:20:58.645Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999661,184422064600,3,189886839921.0,68594018963.0,0.999726,0.999459,9.948e-05,0.00995,-273418250.2967224,-0.14804,184494991046.9261,189961927316.4662,,1.32,-24.44832,2018-07-24T00:00:00.000Z,0.572521,74.59983,2015-03-02T00:00:00.000Z,,2025-11-23T16:20:51.568Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.07,124534246658,4,206642839307.0,3589265102.0,2.07,1.92,0.125595,6.46797,7896474758.0,6.77008,60256871588.0,99985757869.0,100000000000.0,3.65,-43.27856,2025-07-18T03:40:53.808Z,0.00268621,76896.23668,2014-05-22T00:00:00.000Z,,2025-11-23T16:20:49.406Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,849.88,117266401256,5,117266401256.0,1264552316.0,852.51,826.26,22.58,2.72875,3584423678.0,3.15303,137736626.22,137736626.22,200000000.0,1369.99,-37.9327,2025-10-13T08:41:24.131Z,0.0398177,2135424.72486,2017-10-19T00:00:00.000Z,,2025-11-23T16:20:58.766Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,132.38,74345621968,6,81727363224.0,3831591657.0,132.96,126.19,4.61,3.60658,3418224333.0,4.81933,559139288.2445403,614655960.8126488,,293.31,-54.73212,2025-01-19T11:15:27.957Z,0.500801,26412.73934,2020-05-11T19:35:23.449Z,,2025-11-23T16:20:49.324Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.9997,73968217033,7,73965281409.0,5224425555.0,0.999867,0.9996,-9.9550923040037e-05,-0.00996,-38786553.36125183,-0.05241,73984901423.56662,73978569897.15538,,1.17,-14.75292,2019-05-08T00:40:28.300Z,0.877647,13.90663,2023-03-11T08:02:13.981Z,,2025-11-23T16:20:49.543Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.275003,26076888522,8,26077748479.0,486146574.0,0.275442,0.273195,0.00125601,0.45882,181369389.0,0.70039,94672961526.7063,94676083628.7563,,0.431288,-36.2366,2024-12-04T00:10:40.323Z,0.00180434,15141.24497,2017-11-12T00:00:00.000Z,"{'times': 143.7382439202736, 'currency': 'usd', 'percentage': 14373.824392027358}",2025-11-23T16:20:49.304Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2827.23,24478955119,9,24478955119.0,50102722.0,2850.43,2732.1,82.67,3.01203,897758210.0,3.80709,8630101.881311169,8630101.881311169,,4932.89,-42.55911,2025-08-24T19:21:31.902Z,482.9,486.7716,2020-12-22T04:08:21.854Z,,2025-11-23T16:20:48.789Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.1466,22366799080,10,22370933212.0,1259822906.0,0.147298,0.138804,0.00767395,5.52376,1346475822.0,6.40559,151866486383.7052,151894556383.7052,,0.731578,-79.95619,2021-05-08T05:08:23.458Z,8.69e-05,168633.96978,2015-05-06T00:00:00.000Z,,2025-11-23T16:20:49.222Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.415851,15273087908,11,18773485126.0,719173849.0,0.41719,0.399692,0.01515465,3.78207,686017721.0,4.70292,36609556044.30404,45000000000.0,45000000000.0,3.09,-86.52817,2021-09-02T06:00:10.474Z,0.01925275,2060.02055,2020-03-13T02:22:55.044Z,,2025-11-23T16:20:49.343Z
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.026,14167446314,12,14167446314.0,7264133.0,1.029,1.025,-0.002814499999999942,-0.27351,-42262707.28393173,-0.29742,13805601498.92,13805601498.92,,1.37,-25.07245,2025-10-28T06:05:38.345Z,0.155357,560.55127,2025-10-31T14:27:24.456Z,,2025-11-23T07:18:49.793Z
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,57.45,12348103463,13,18477243219.0,98596165.0,57.56,56.23,1.093,1.93931,289889633.0,2.40408,214560782.0,321060782.0,400000000.0,62.96,-8.58285,2025-11-18T16:31:08.819Z,3.06,1779.96092,2023-02-13T19:01:21.899Z,,2025-11-23T16:20:48.804Z
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,3448.92,11400763052,14,11400763052.0,33581250.0,3476.51,3335.93,100.91,3.01401,373847797.0,3.39032,3304006.080903874,3304006.080903874,,7256.02,-52.40038,2022-05-13T15:09:54.509Z,558.54,518.36889,2022-05-13T01:36:45.053Z,,2025-11-23T16:20:48.911Z
